,ORF,NAME,alpha 0,alpha 7,alpha 14,alpha 21,alpha 28,alpha 35,alpha 42,alpha 49,alpha 56,alpha 63,alpha 70,alpha 77,alpha 84,alpha 91,alpha 98,alpha 105,alpha 112,alpha 119,Elu 0,Elu 30,Elu 60,Elu 90,Elu 120,Elu 150,Elu 180,Elu 210,Elu 240,Elu 270,Elu 300,Elu 330,Elu 360,Elu 390,cdc15 10,cdc15 30,cdc15 50,cdc15 70,cdc15 90,cdc15 110,cdc15 130,cdc15 150,cdc15 170,cdc15 190,cdc15 210,cdc15 230,cdc15 250,cdc15 270,cdc15 290,spo 0,spo 2,spo 5,spo 7,spo 9,spo 11,spo5 2,spo5 7,spo5 11,spo- early,spo- mid,heat 0,heat 10,heat 20,heat 40,heat 80,heat 160,dtt 15,dtt 30,dtt 60,dtt 120,cold 0,cold 20,cold 40,cold 160,diau a,diau b,diau c,diau d,diau e,diau f,diau g,km
504,YDR226W,ADK1   METABOLISM       CYTOSOLIC ADENYLATE KINASE,-0.14,-0.29,-0.06,-0.07,-0.03,-0.36,0.23,-0.43,0.1,-0.07,0.01,-0.14,0.14,-0.34,-0.06,-0.14,-0.14,-0.25,-1.22,-0.54,-0.03,0.01,0.01,0.12,-0.03,0.71,0.63,0.55,0.14,0.36,0.71,0.49,-0.22,-0.18,0.04,0.26,0.34,0.24,0.14,0.08,0.08,0.31,0.39,-0.3,0.2,0.04,0.23,0.08,-0.34,-1.29,-1.89,-1.89,-2.06,1.05,-0.81,-1.0,-1.18,-1.84,-0.51,-0.58,-1.29,-1.03,-0.18,-1.18,0.61,-0.03,0.46,0.08,-0.4,-0.51,-0.6,-1.32,0.16,0.38,0.07,-0.14,-0.09,-0.29,-1.51,1
1183,YIL148W,RPL40A PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L40A,-0.27,-0.01,-0.38,-0.17,-0.56,-0.06,-0.4,-0.32,-0.12,0.16,-0.34,-0.2,-0.03,-0.47,0.04,0.04,0.03,0.03,-0.32,0.46,0.36,0.45,0.28,0.58,0.32,0.33,0.07,0.16,0.26,-0.18,-0.38,-0.07,-0.29,-0.18,-0.03,0.2,0.21,0.21,0.01,0.19,0.11,-0.22,0.2,0.33,-0.14,-0.25,0.03,-0.18,-0.97,-1.4,-1.22,-1.03,-0.79,0.24,-0.27,0.66,-1.32,-1.56,-0.15,-1.25,-1.25,-1.51,-1.15,-0.94,-0.23,0.25,-0.67,-1.03,-0.32,-0.17,-1.09,-1.51,-0.12,-0.22,-0.42,-0.51,-0.4,-1.15,-2.0,2
1531,YLL045C,RPL8B  PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L8B,-0.09,-0.2,-0.54,-0.01,-0.23,-0.07,0.03,-0.15,0.28,-0.09,-0.01,-0.1,0.1,-0.03,0.28,0.11,-0.03,0.26,-0.74,-0.06,0.04,0.7,1.01,0.82,0.69,0.96,0.74,0.68,0.39,0.37,0.12,0.29,-0.43,-0.03,0.18,0.32,0.41,0.46,0.34,0.45,0.39,0.19,0.14,0.77,0.01,-0.06,0.01,0.16,-2.0,-1.94,-2.56,-1.84,-0.6,-0.01,-0.84,0.82,-3.06,-4.06,-0.34,-1.47,-2.84,-1.79,-1.15,-1.06,0.55,-0.1,-0.47,-1.22,-0.32,-0.64,-0.92,-1.74,0.19,-0.17,-0.09,-0.1,-0.1,-1.94,-3.06,2
793,YGL021W,ALK1   DNA REPAIR (PUTATIVE)    DNA DAMAGE-RESPONSIVE PROTEIN,-1.29,-0.76,-1.64,-1.29,-1.03,-0.01,0.78,0.7,0.7,0.14,-0.47,-0.74,-0.86,-0.49,0.15,0.39,0.91,0.33,-1.69,-1.47,-1.03,-1.94,-1.43,-1.03,-0.36,-0.12,0.24,0.06,0.08,0.37,-0.17,-0.47,-1.51,-0.45,-1.15,0.49,1.18,0.7,-0.76,-0.92,-0.54,0.19,0.65,-0.45,-0.79,-1.09,-0.64,-0.29,1.03,-0.54,-0.14,-0.18,-0.92,1.42,-0.18,-0.29,0.52,-0.38,0.07,0.15,,-0.03,1.06,0.57,-0.92,-1.03,-0.81,-0.79,-0.17,-0.4,-0.67,-0.14,0.07,0.06,0.49,0.21,0.16,-0.32,-0.4,9
1771,YMR027W,HRT2   TY3 TRANSPOSITION (PUTAT UNKNOWN,-0.22,-0.49,0.1,-0.06,0.23,0.07,0.29,-0.15,,-0.18,0.1,-0.15,0.06,-0.45,0.08,-0.25,-0.25,-0.32,0.53,-0.3,-0.47,-0.38,-0.38,-0.58,-0.54,-0.25,0.21,-0.29,-0.64,0.42,0.33,,-0.45,-0.42,-0.1,-0.04,-0.07,-0.04,0.1,0.25,0.29,-0.01,0.19,0.16,0.57,0.41,0.5,0.03,-0.51,-1.64,-1.84,-2.0,-1.69,1.52,-0.6,-0.54,-0.71,-1.84,-0.1,0.06,0.1,0.14,-0.2,-0.18,0.37,-0.29,0.74,0.26,0.1,-0.67,-0.84,-1.29,0.01,0.11,-0.01,-0.22,0.44,1.3,0.82,1
1225,YJL024C,APS3   VACUOLAR PROTEIN TARGETI AP-3 COMPLEX SUBUNIT,-0.12,-0.04,0.16,-0.01,0.15,-0.03,-0.09,0.34,0.12,-0.3,0.16,-0.3,-0.2,-0.09,-0.03,0.06,-0.32,-0.3,0.2,-0.4,0.03,-0.18,-0.01,-0.04,0.08,,-0.06,-0.3,-0.34,-0.51,-0.42,-0.2,0.06,0.01,0.19,-0.27,-0.23,-0.17,-0.14,-0.23,,-0.12,0.01,-0.07,,-0.06,0.37,0.08,0.26,0.54,0.54,0.07,0.07,-0.17,0.11,-0.74,0.43,1.1,-0.07,0.23,-0.09,-0.1,-0.36,0.07,-0.15,-0.12,-0.12,-0.25,-0.23,0.4,0.03,-0.34,0.07,0.12,-0.01,-0.3,-0.3,0.78,-0.12,5
1459,YKL197C,PEX1   PEROXISOME BIOGENESIS    ATPASE (PUTATIVE),-0.06,-0.38,0.06,-0.14,0.21,-0.27,0.2,,-0.04,,0.32,-0.03,-0.04,-0.38,0.23,-0.14,0.07,-0.42,0.48,0.15,-0.3,-0.4,-0.43,-0.58,-0.56,-0.29,-0.15,-0.45,-0.45,-0.2,-0.09,-0.29,-0.54,-0.18,-0.34,-0.23,-0.22,-0.17,0.01,0.82,-0.09,-0.29,-0.38,-0.42,-0.27,0.04,-0.3,-0.36,-0.14,-0.12,0.01,0.06,0.06,-0.1,,0.01,-0.1,-0.6,-0.42,0.48,0.29,-0.47,0.34,-0.76,-0.25,-0.89,-0.14,-0.18,0.11,-0.3,-0.71,-0.84,-0.03,-0.01,0.06,-0.38,0.01,-0.18,0.11,0
85,YBL090W,"MRP21  PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN, MITOCHONDRIAL",-0.07,-0.27,0.11,0.01,0.28,-0.2,0.08,0.23,0.16,-0.29,0.15,0.18,-0.18,0.01,-0.1,0.25,-0.15,0.1,-0.07,-0.6,-0.42,,0.21,-0.27,-0.22,-0.1,-0.3,-0.18,-0.14,-0.04,-0.25,-0.22,,0.31,-0.09,-0.12,-0.07,0.66,0.86,0.59,-0.45,,0.63,1.29,1.58,-0.2,-1.0,0.31,-0.51,-0.36,-0.81,-0.6,-0.42,0.07,-0.23,-0.18,-1.15,-0.74,-0.29,-0.47,-0.15,-0.67,-0.6,-0.14,0.2,0.62,0.03,-0.43,-0.29,0.53,-0.47,0.77,0.04,0.01,0.03,0.11,0.12,1.26,0.42,6
1644,YLR309C,IMH1   SECRETION (PUTATIVE)     UNKNOWN; SUPPRESSES YPT6 TS MUTATION,0.07,-0.07,0.07,-0.07,0.23,-0.1,0.28,-0.1,0.07,-0.15,0.57,-0.3,-0.03,-0.17,0.24,0.2,-0.42,-0.25,-0.23,-0.32,-0.49,-0.22,-0.36,-0.62,-0.56,-0.51,-0.27,-0.47,-0.47,-0.04,-0.1,-0.4,0.07,-0.01,-0.09,-0.18,-0.38,-0.17,-0.2,-0.3,-0.25,-0.3,-0.34,0.19,-0.84,-0.14,0.11,-0.07,-0.97,-0.54,-1.0,-1.43,-1.15,-0.64,-0.36,-0.56,-0.84,-0.29,-0.18,-0.03,0.14,0.2,-0.15,1.43,-0.49,-0.01,-0.32,-0.56,0.03,0.23,-0.34,-0.56,0.18,-0.03,-0.54,-0.07,-0.07,0.7,0.14,0
1066,YHR044C,DOG1   2-DEOXYGLUCOSE RESISTANC 2-DEOXYGLUCOSE-6-PHOSPHATE PHOSPHATASE,0.11,0.46,0.26,-0.06,0.23,-0.36,0.11,-0.18,,-0.09,0.06,0.11,0.15,-0.18,-0.1,-0.22,0.11,0.04,-0.22,-0.54,-0.34,-0.14,-0.32,-0.23,-0.18,0.15,-0.17,-0.07,-0.36,-0.62,-0.79,-0.32,-0.01,0.03,-0.03,-0.1,-0.12,-0.2,0.19,0.19,,-0.15,-0.06,-0.2,0.32,0.19,0.37,-0.38,-0.34,-0.86,-1.09,-1.06,-1.0,0.48,-0.62,-0.69,-0.54,-0.84,-0.27,0.28,0.07,-0.06,-0.07,-0.17,0.59,0.53,0.3,-0.07,0.18,0.61,0.14,0.04,-0.12,0.07,0.19,-0.03,,0.6,-0.1,6
107,YBR035C,PDX3   STEROL UPTAKE (PUTATIVE) PYRIDOXINE (PYRIDOXAMINE) PHOSPHATE OXIDASE,-0.36,-0.51,0.04,-0.34,0.11,-0.2,0.11,0.32,-0.17,-0.07,-0.23,-0.22,-0.09,-0.18,0.01,-0.23,-0.09,0.19,-0.03,-0.62,-0.47,-0.74,-0.64,-0.47,-0.92,-0.03,0.46,0.01,-0.51,0.44,0.25,0.12,0.12,0.28,-0.15,-0.54,-0.34,-0.18,0.42,-0.03,-0.47,-1.18,-0.22,0.11,-0.43,-0.1,-0.43,-0.03,0.65,-0.04,-0.43,-0.81,-0.6,0.69,-0.38,-0.69,0.03,-0.56,-0.17,0.43,-0.14,-0.25,-0.25,0.07,0.26,0.42,0.16,-0.81,-0.06,0.19,-0.06,-0.49,0.1,,0.6,0.18,0.49,0.9,0.68,0
965,YGR159C,NSR1   NUCLEAR PROTEIN TARGETIN NLS-BINDING PROTEIN,0.2,-0.42,-1.56,-0.49,-0.32,0.12,-0.14,0.34,0.44,0.08,0.1,-0.01,0.2,0.36,-0.12,0.1,0.03,0.42,-1.84,-0.29,0.36,0.62,1.16,1.08,0.62,0.11,-0.36,0.41,0.18,-1.03,-0.92,-0.32,1.29,1.41,0.94,0.57,0.51,0.41,0.32,0.06,-0.07,0.55,0.28,-0.12,-0.36,-0.76,-0.69,0.06,-1.47,-0.71,-1.89,-0.92,-1.12,-1.25,-1.36,-0.62,-2.0,-1.51,-0.1,-4.64,-1.89,-1.74,-1.4,-0.69,-0.23,-1.64,-1.56,-1.32,-0.15,-0.51,-0.25,0.97,0.2,0.07,0.12,-1.06,-1.09,-1.0,-2.0,8
197,YBR202W,CDC47  DNA REPLICATION     MCM INITIATOR COMPLEX,-1.03,-1.09,0.23,-1.09,-1.56,-1.64,-1.29,0.38,0.6,0.04,0.5,-0.25,-0.6,-0.62,-1.06,-0.2,-0.03,0.57,-1.4,-0.81,-0.71,-0.23,-0.17,-0.27,-0.34,-0.22,0.33,0.68,-0.32,0.49,0.29,,0.49,-0.18,-2.0,-1.74,0.07,1.16,1.01,-0.32,-1.4,-0.54,0.37,0.26,0.64,-0.12,-0.42,-0.34,1.19,0.84,0.11,-0.32,-0.36,0.37,-0.94,-0.81,1.46,-0.36,-0.32,-0.49,-0.56,-0.09,-0.15,-0.2,-0.47,-0.2,-0.94,-0.84,0.03,0.26,-0.01,0.33,0.19,0.01,-0.49,-0.76,-0.84,-0.81,-1.25,9
861,YGL181W,"GTS1   HEAT SHOCK, FLOCCULATION TRANSCRIPTION FACTOR",0.12,0.21,0.23,0.15,-0.03,0.26,0.11,0.37,0.28,0.01,0.31,0.06,,0.07,0.28,0.46,-0.12,0.06,0.5,-0.03,0.08,-0.04,-0.15,-0.23,0.1,0.36,0.2,-0.07,0.19,0.29,0.26,,-0.49,-0.42,-0.34,-0.2,-0.51,-0.15,-0.45,-0.18,0.07,-0.84,-0.58,0.08,0.01,-0.15,0.07,0.42,-0.54,-0.25,0.25,0.7,0.41,,0.56,0.58,0.74,0.25,-0.1,0.54,0.11,0.1,-0.32,0.28,0.16,-0.34,0.16,-0.04,-0.1,0.28,0.28,0.59,-0.54,-0.14,0.24,-0.23,-0.49,0.38,0.21,3
2008,YNL325C,FIG4   MATING (PUTATIVE)     UNKNOWN; INDUCED BY MATING FACTOR,-0.36,-0.14,-0.4,-0.4,,-0.27,-0.36,-0.27,-0.38,-0.4,0.03,-0.15,-0.23,-0.2,-0.76,-1.06,-0.32,-0.22,0.15,-0.34,-0.22,-0.34,-0.12,-0.34,-0.23,-0.29,-0.86,-0.23,-0.22,-0.3,-1.18,-0.2,-0.42,0.1,-0.17,-0.36,-0.97,-0.29,-0.58,1.09,-0.56,-0.79,-0.81,0.5,-1.15,-0.38,-1.03,-0.43,-0.2,-0.29,-0.45,-0.43,-0.69,0.08,-0.84,-1.03,0.41,0.25,0.06,0.04,0.03,-0.15,-0.2,-0.15,-0.67,-0.58,-0.3,0.12,-0.23,0.43,-0.76,-0.27,-0.12,-0.2,0.29,0.07,-0.22,0.65,0.16,0
1863,YMR276W,DSK2   SPINDLE POLE BODY DUPL   UBIQUITIN-LIKE PROTEIN,-0.1,-0.17,0.11,0.03,0.3,-0.1,0.52,0.1,0.12,-0.03,-0.09,-0.25,-0.14,-0.58,-0.15,-0.29,-0.01,-0.23,0.84,0.57,-0.17,0.11,-0.04,0.03,0.1,0.26,0.43,0.23,0.1,0.38,0.2,0.52,-0.43,-0.64,-0.34,0.06,0.03,-0.34,-0.23,-0.42,-0.34,-0.03,0.11,-1.36,-0.04,-0.03,0.07,-0.09,0.23,0.03,-0.22,-0.76,-1.25,0.3,-0.94,-0.84,0.56,0.86,0.56,1.09,0.86,1.56,1.09,1.05,0.39,-0.45,0.61,0.39,0.28,0.52,0.76,1.02,-0.92,-0.29,0.79,-0.67,-0.97,0.39,-0.36,0
649,YER001W,"MNN1   PROTEIN GLYCOSYLATION    ALPHA-1,3-MANNOSYLTRANSFERASE",-2.18,-0.58,0.87,1.71,0.64,0.66,-0.27,-0.43,-0.97,-0.84,0.18,1.46,1.13,1.1,0.31,0.07,-0.86,-0.76,-1.18,-0.18,0.03,-0.34,0.41,0.64,0.7,0.3,-0.01,0.4,0.49,-0.47,-1.09,-0.23,-0.54,0.59,1.58,1.13,-0.4,-0.58,0.19,1.4,1.72,0.72,-0.22,-0.14,0.12,0.15,0.29,0.03,0.23,-0.45,-2.0,-1.51,-1.74,0.37,-1.51,-1.84,-0.22,-2.25,0.04,-2.18,-1.25,0.26,-0.17,0.07,-0.32,-0.94,-0.74,-0.2,-0.23,-0.01,-0.29,0.25,-0.1,0.12,0.6,0.2,-0.22,0.16,0.25,1
1982,YNL262W,POL2   DNA REPLICATION     POLYMERASE EPSILON CATALYTIC SUBUNIT,0.84,-0.51,0.49,0.58,0.87,0.24,-0.18,-0.64,-0.43,-0.49,0.03,0.32,0.43,0.08,0.04,-0.56,-0.32,-0.71,-1.32,-0.97,-0.74,-0.17,0.28,0.41,0.23,-0.49,-0.06,-0.06,-0.06,-0.32,-0.74,-0.3,-0.29,0.28,0.88,-0.23,-0.79,-0.84,0.24,0.53,0.33,-0.67,-1.0,-1.51,-0.18,-0.27,-0.56,-0.4,0.61,1.1,,0.3,-0.07,-0.54,-0.49,-0.76,1.62,1.1,-0.97,-0.74,-0.51,-0.23,-0.15,0.52,-0.14,0.04,-0.86,-0.71,-0.64,-0.36,-0.64,-0.42,-0.09,-0.17,-0.07,-0.25,-0.17,-0.36,-0.42,5
1944,YNL160W,YGP1   DIAUXIC SHIFT       UNKNOWN; RESPONSE TO NUTRIENT LIMITATION,-1.29,-0.04,0.61,0.52,0.23,-0.22,-0.89,-0.56,0.81,0.23,1.14,0.31,0.18,-0.54,-0.17,-0.32,0.14,0.18,1.76,0.71,1.14,1.11,-0.15,-0.94,-0.74,-0.69,-0.38,-0.42,-0.43,0.14,-0.12,0.16,0.53,-0.42,-1.09,-0.62,0.25,2.1,1.8,0.4,-0.09,-0.25,1.52,2.06,1.56,0.45,0.43,-0.15,-2.12,-2.56,-3.18,-2.74,-3.32,0.01,-1.09,-0.56,-2.12,-4.64,0.71,2.31,2.79,1.93,1.82,1.54,0.44,-0.27,0.76,1.08,0.64,0.42,0.72,0.99,0.24,0.34,1.11,1.49,1.74,3.08,2.84,4
1732,YML078W,CPR3   PROTEIN FOLDING     PEPTIDYL-PROLYL CIS-TRANS ISOMERASE,0.14,0.08,-0.04,0.28,,0.14,0.24,0.14,0.12,-0.22,0.18,-0.25,0.12,-0.3,0.19,-0.18,-0.25,-0.1,0.32,-0.17,0.12,0.15,-0.17,0.01,0.14,0.28,0.08,0.36,0.2,0.41,0.37,0.42,0.07,-0.29,-0.22,-1.25,0.3,0.42,0.52,0.58,0.37,0.49,0.69,-0.1,0.39,0.43,0.66,0.04,-0.51,-0.76,-0.92,-0.94,-1.03,0.16,-0.07,-0.38,-1.56,-1.6,0.43,0.15,0.08,-0.25,,-0.17,0.24,-0.69,0.25,0.31,0.12,0.8,-0.3,-0.76,0.21,0.16,0.4,,0.1,0.44,0.19,6
1682,YLR406C,RPL31B PROTEIN SYNTHESIS     RIBOSOMAL PROTEIN L31B,-0.04,-0.58,-0.2,-0.71,-0.06,-0.74,,-0.38,0.28,-0.12,0.58,-0.42,-0.04,-0.62,0.64,-0.14,-0.06,-0.29,-0.74,-0.27,-0.3,0.55,0.07,-0.1,0.2,-0.17,-0.12,-0.1,-0.47,-0.3,-0.45,-0.47,-0.14,0.11,-0.06,-0.07,-0.74,-0.09,-0.06,0.15,-0.4,-0.81,-0.71,0.69,-0.64,-0.36,-0.43,-0.49,-0.69,-0.38,-0.45,0.01,-0.03,-0.43,0.28,-0.36,-0.81,-0.25,-0.43,-0.94,-1.29,-0.32,-0.94,0.11,-0.54,-0.01,-0.62,-0.89,0.07,-0.04,0.04,-0.62,0.11,-0.09,0.06,-0.14,-0.36,-0.86,-1.25,8
